ID,names,masl,s_name,owner,mun,X,Y,From,To,timeOffset,timeResolution
SN18225,OSLO - TONSENHAGEN,204,Tonsenhagen,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.8293,59.9467,2013-06-05T00:00:00.000Z,NA,PT0H,PT1H
SN26802,MJØNDALEN - ÅSEN,166,Åsen,NEDRE EIKER KOMMUNE,DRAMMEN,10.0258,59.7328,2015-03-12T00:00:00.000Z,NA,PT0H,PT1H
SN18440,OSLO - KJELSÅS,162,Kjelsås ,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.7853,59.9605,2013-05-21T00:00:00.000Z,NA,PT0H,PT1H
SN4725,E16 GARDERMOEN,203,Gardermoen,STATENS VEGVESEN,ULLENSAKER,11.1165,60.1677,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN3720,ASKIM - KYKKELSRUD,87,Kykkelsrud ,ASKIM KOMMUNE,INDRE ØSTFOLD,11.0962,59.5873,2015-02-01T00:00:00.000Z,NA,PT0H,PT1H
SN18210,OSLO - HOVIN,100,Hovin,"OSLO KOMMUNE, VANN- OG AVLØPSETATEN",OSLO,10.804,59.923,1998-09-08T00:00:00.000Z,NA,PT0H,PT1H
SN27433,NØTTERØY - TENVIK,1,Tenvik,FÆRDER KOMMUNE,FÆRDER,10.3655,59.1745,2015-12-31T00:00:00.000Z,NA,PT0H,PT1H
SN27406,NØTTERØY - TORØD,2,Torød,FÆRDER KOMMUNE,FÆRDER,10.4238,59.169,2015-12-31T00:00:00.000Z,NA,PT0H,PT1H
SN18165,OSLO - RYEN,130,Ryen,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.8013,59.8963,2013-02-23T00:00:00.000Z,NA,PT0H,PT1H
SN26060,SKOTSELV,18,Skotselv,ØVRE EIKER KOMMUNE,ØVRE EIKER,9.8948,59.8387,2016-11-14T00:00:00.000Z,NA,PT0H,PT1H
SN19780,ASKER - VOLLEN,20,Vollen ,ASKER KOMMUNE,ASKER,10.3812,59.82,2019-10-21T00:00:00.000Z,NA,PT0H,PT1H
SN27630,SANDEFJORD - ENGA,4,Enga ,SANDEFJORD KOMMUNE,SANDEFJORD,10.2147,59.0857,2018-01-31T00:00:00.000Z,NA,PT0H,PT1H
SN3810,ASKIM II,141,Askim,ASKIM KOMMUNE,INDRE ØSTFOLD,11.166,59.5872,1968-04-09T00:00:00.000Z,NA,PT0H,PT1H
SN18703,OSLO - BLINDERN TESTFELT,96,Blindern test,MET.NO,OSLO,10.7194,59.94256,2013-10-14T00:00:00.000Z,NA,PT0H,PT1H
SN19430,E18 SANDVIKA,3,Sandvika,STATENS VEGVESEN,BÆRUM,10.5403,59.8923,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26975,SVELVIK - BOKERØYA,3,Bokerøya,SVELVIK KOMMUNE,DRAMMEN,10.4053,59.591,2018-07-12T00:00:00.000Z,2019-06-30T00:00:00.000Z,PT0H,PT1H
SN11125,E6 ANDELVA,180,Andelva,STATENS VEGVESEN,EIDSVOLL,11.1358,60.2852,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26996,SANDE - LAUVKOLLMYR,437,Lauvkollmyr,Private owner,HOLMESTRAND,10.1052,59.6473,2014-07-08T00:00:00.000Z,NA,PT0H,PT1H
SN26350,SIGDAL - NEDRE EGGEDAL,143,Nedre Eggedal ,Private owner,SIGDAL,9.4391,60.1358,2014-04-08T00:00:00.000Z,NA,PT0H,PT1H
SN18410,RV150 AKER SYKEHUS,140,Aker Sykehus,STATENS VEGVESEN,OSLO,10.798,59.941,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
