ID,names,masl,s_name,owner,mun,X,Y,From,To,timeOffset,timeResolution
SN27330,TØNSBERG - TARANRØD,33,Taranrød ,"TØNSBERG KOMMUNE, INGENIØRVESENET",TØNSBERG,10.2983,59.2938,2013-12-16T00:00:00.000Z,NA,PT0H,PT1H
SN27420,TJØME,32,Tjøme,FÆRDER KOMMUNE,FÆRDER,10.398,59.1208,2016-08-22T00:00:00.000Z,NA,PT0H,PT1H
SN30255,PORSGRUNN - ÅS,100,Porsgrunn (Ås),MET.NO,PORSGRUNN,9.66,59.091,2013-07-11T00:00:00.000Z,NA,PT0H,PT1H
SN18233,OSLO - NYLAND,120,Nyland,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.864,59.9451,2013-04-18T00:00:00.000Z,NA,PT0H,PT1H
SN17775,FAGERSTRAND,32,Fagerstrand ,NESODDEN KOMMUNE,NESODDEN,10.5886,59.7377,2015-01-08T00:00:00.000Z,NA,PT0H,PT1H
SN17850,ÅS,92,Ås (NMBU),NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET,ÅS,10.7818,59.6605,2012-05-24T00:00:00.000Z,NA,PT0H,PT1H
SN32061,GVARV - NES BIOFORSK,94,Gvarv (Bioforsk),NIBIO,MIDT-TELEMARK,9.2118,59.3822,2013-02-06T00:00:00.000Z,NA,PT0H,PT1H
SN4455,RV4 ÅNEBY,138,Åneby ,STATENS VEGVESEN,NITTEDAL,10.8467,60.1107,2018-12-03T00:00:00.000Z,NA,PT0H,PT1H
SN27010,KONNERUD,193,Konnerud ,DRAMMEN KOMMUNE,DRAMMEN,10.146,59.713,2010-03-19T00:00:00.000Z,NA,PT0H,PT1H
SN3190,SARPSBORG,57,Sarpsborg,MET.NO,SARPSBORG,11.1128,59.2852,1984-08-01T00:00:00.000Z,1991-08-31T00:00:00.000Z,PT0H,PT1H
SN30258,PORSGRUNN - KLEVSTRAND,5,Klevstrand,PORSGRUNN KOMMUNE,PORSGRUNN,9.6495,59.12055,2015-11-09T00:00:00.000Z,NA,PT0H,PT1H
SN17150,RYGGE,40,Rygge,MET.NO,MOSS,10.798,59.3742,2007-10-01T00:00:00.000Z,NA,PT0H,PT1H
SN18020,OSLO - LAMBERTSETER,135,NA,"OSLO KOMMUNE, VANN- OG AVLØPSETATEN",OSLO,10.7857,59.8783,1985-05-16T00:00:00.000Z,NA,PT0H,PT1H
SN18980,OSLO - LILLEAKER,39,NA,"OSLO KOMMUNE, VANN- OG AVLØPSETATEN",OSLO,10.6343,59.9203,2004-06-07T00:00:00.000Z,2018-11-30T00:00:00.000Z,PT0H,PT1H
SN27315,RAMNES - KILE VESTRE,39,Ramnes (Kile) ,NIBIO,TØNSBERG,10.2397,59.3808,2013-02-06T00:00:00.000Z,NA,PT0H,PT1H
SN19940,LIER,39,Lier,NIBIO,LIER,10.2598,59.7908,2013-02-06T00:00:00.000Z,NA,PT0H,PT1H
SN30249,LANGANGEN,5,Langangen ,PORSGRUNN KOMMUNE,PORSGRUNN,9.802,59.0875,2015-11-09T00:00:00.000Z,NA,PT0H,PT1H
SN27270,TØNSBERG - KILEN,3,Tønsberg (Kilen),"TØNSBERG KOMMUNE, INGENIØRVESENET",TØNSBERG,10.4312,59.2782,2000-01-28T00:00:00.000Z,NA,PT0H,PT1H
SN18310,OSLO - TØYEN,19,Tøyen ,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.7747,59.9147,2013-06-04T00:00:00.000Z,NA,PT0H,PT1H
SN18265,E6 DJUPDALEN,188,Djupdalen,STATENS VEGVESEN,LILLESTRØM,10.975,59.962,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26950,SVELVIK - KNEM,4,Svelvik - Knem,NIBIO,DRAMMEN,10.4047,59.6027,2013-02-05T00:00:00.000Z,NA,PT0H,PT1H
SN4090,VALLERUDÅSEN,227,Vallerudåsen ,LØRENSKOG KOMMUNE,LØRENSKOG,10.9425,59.914,2015-01-19T00:00:00.000Z,NA,PT0H,PT1H
SN4960,RV2 UVESUND BRU,130,NA,STATENS VEGVESEN,NES,11.4792,60.2688,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26932,DRAMMEN - AUSTAD,100,Austad ,DRAMMEN KOMMUNE,DRAMMEN,10.2168,59.721,2012-09-25T00:00:00.000Z,NA,PT0H,PT1H
SN18920,OSLO - BESSERUD,177,Besserud,"OSLO KOMMUNE, VANN- OG AVLØPSETATEN",OSLO,10.671,59.9573,2001-05-28T00:00:00.000Z,NA,PT0H,PT1H
SN4260,SKEDSMO - HELLERUD,143,Skjetten,NIBIO,LILLESTRØM,10.9777,59.9775,2013-02-05T00:00:00.000Z,NA,PT0H,PT1H
SN17000,STRØMTANGEN FYR,10,Strømtangen,MET.NO,FREDRIKSTAD,10.8288,59.1513,1994-05-09T00:00:00.000Z,NA,PT0H,PT1H
SN17380,RYGGE - HUGGENES,35,Huggenes,NIBIO,MOSS,10.7543,59.398,2013-02-13T00:00:00.000Z,NA,PT0H,PT1H
